Track file,C:\docs\ethovision\031202-1er-test-rat_0001\data\track_00521.trk
Object,0
Samples,619
WaterTemp,22,°C
RoomTemp,20.5,°C
New Label,,
New Label,,
Status,Acquired,
Trial duration,0000:00:00:49.520,dd:HH:mm:ss
Tracking profile,Tracking profile,
Arena,Piscine,
Track file,track_00521.trk,
Object,0,
Arena profile,Arena profile,
Start date & time,2006-02-20 10:34:21.640,yyyy-MM-dd HH:mm:ss
Stop date & time,2006-02-20 10:35:11.160,yyyy-MM-dd HH:mm:ss
Trial number,1,
Mobility low,0,
Mobility high,0,
Movie file,,
Maximum voltage x,0,
Maximum voltage y,0,
Mobility running av,1,
Sample no.,Time,X,Y,Area,ZONES [Acquisition Zonedef],ZONES [Zone Definition 2],ZONES [Zone Definition 3],Distance to zone [Arena],Distance moved,Velocity,Heading
420,33.52,204.01,67.44,378.00,E,Mid,Zone 1,0.00,1.70,21.29,233.13
421,33.60,203.33,68.46,397.00,E,Mid,Zone 1,0.00,1.23,15.35,213.69
422,33.68,202.65,69.14,423.00,E,Mid,Zone 1,0.00,0.96,12.04,225.00
423,33.76,201.29,70.16,402.00,E,Mid,Zone 1,0.00,1.70,21.29,233.13
424,33.84,200.27,70.84,367.00,E,Mid,Zone 1,0.00,1.23,15.35,236.31
425,33.92,198.91,72.55,387.00,E,Mid,Zone 1,0.00,2.18,27.26,218.66
426,34.00,197.88,73.57,421.00,E,Mid,Zone 1,0.00,1.45,18.06,225.00
427,34.08,196.52,75.95,400.00,E,Mid,Zone 1,0.00,2.75,34.32,209.74
428,34.16,195.84,77.66,369.00,E,Mid,Zone 1,0.00,1.83,22.93,201.80
429,34.24,195.50,80.38,297.00,E,Center,Zone 1,0.00,2.75,34.32,187.13
430,34.32,195.16,82.08,301.00,E,Center,Zone 1,0.00,1.74,21.71,191.31
431,34.40,194.82,83.45,330.00,E,Center,Zone 1,0.00,1.40,17.55,194.04
432,34.48,194.82,84.13,435.00,E,Center,Zone 1,0.00,0.68,8.51,180.00
433,34.56,194.82,85.83,449.00,E,Center,Zone 1,0.00,1.70,21.29,180.00
434,34.64,194.48,87.87,449.00,E,Center,Zone 1,0.00,2.07,25.90,189.46
435,34.72,194.48,89.92,437.00,E,Center,Zone 1,0.00,2.04,25.54,180.00
436,34.80,194.14,92.64,370.00,E,Center,Zone 1,0.00,2.75,34.32,187.13
437,34.88,193.46,95.03,324.00,E,Center,Zone 1,0.00,2.48,30.99,195.95
438,34.96,192.43,97.07,274.00,E,Center,Zone 1,0.00,2.28,28.56,206.57
439,35.04,191.41,98.09,310.00,E,Center,Zone 1,0.00,1.45,18.06,225.00
440,35.12,190.05,99.11,272.00,E,Center,Zone 1,0.00,1.70,21.29,233.13
441,35.20,190.39,99.11,354.00,E,Center,Zone 1,0.00,0.34,4.26,90.00
442,35.28,187.67,100.82,285.00,E,Center,Zone 1,0.00,3.21,40.16,237.99
443,35.36,186.64,101.50,300.00,E,Center,Zone 1,0.00,1.23,15.35,236.31
444,35.44,185.28,101.84,338.00,E,Center,Zone 1,0.00,1.40,17.55,255.96
445,35.52,184.26,102.18,343.00,E,Center,Zone 1,0.00,1.08,13.46,251.57
446,35.60,183.58,102.52,356.00,E,Center,Zone 1,0.00,0.76,9.52,243.43
447,35.68,181.54,101.50,293.00,E,Center,Zone 1,0.00,2.28,28.56,296.57
448,35.76,180.17,100.47,274.00,E,Center,Zone 1,0.00,1.70,21.29,306.87
449,35.84,179.15,99.79,277.00,E,Center,Zone 1,0.00,1.23,15.35,303.69
450,35.92,177.79,98.77,281.00,E,Center,Zone 1,0.00,1.70,21.29,306.87
451,36.00,177.11,98.09,310.00,E,Center,Zone 1,0.00,0.96,12.04,315.00
452,36.08,176.09,97.07,312.00,E,Center,Zone 1,0.00,1.45,18.06,315.00
453,36.16,174.72,96.39,311.00,E,Center,Zone 1,0.00,1.52,19.04,296.57
454,36.24,173.36,95.03,305.00,E,Center,Zone 1,0.00,1.93,24.08,315.00
455,36.32,172.00,94.00,314.00,E,Center,Zone 1,0.00,1.70,21.29,306.87
456,36.40,170.64,93.32,334.00,E,Center,Zone 1,0.00,1.52,19.04,296.57
457,36.48,168.59,91.96,318.00,E,Center,Zone 1,0.00,2.46,30.70,303.69
458,36.56,167.23,90.94,282.00,E,Center,Zone 1,0.00,1.70,21.29,306.87
459,36.64,165.53,89.92,300.00,E,Center,Zone 1,0.00,1.99,24.82,300.96
460,36.72,163.82,89.24,297.00,E,Center,Zone 1,0.00,1.83,22.93,291.80
461,36.80,162.12,88.55,321.00,E,Center,Zone 1,0.00,1.83,22.93,291.80
462,36.88,160.42,88.21,321.00,E,Center,Zone 1,0.00,1.74,21.71,281.31
463,36.96,158.38,87.53,305.00,E,Center,Zone 1,0.00,2.15,26.93,288.43
464,37.04,157.01,87.53,303.00,E,Center,Zone 1,0.00,1.36,17.03,270.00
465,37.12,154.97,87.19,310.00,E,Center,Zone 1,0.00,2.07,25.90,279.46
466,37.20,153.61,86.85,322.00,E,Center,Zone 1,0.00,1.40,17.55,284.04
467,37.28,151.56,86.85,286.00,E,Center,Zone 1,0.00,2.04,25.54,270.00
468,37.36,149.86,86.17,315.00,E,Center,Zone 1,0.00,1.83,22.93,291.80
469,37.44,148.84,86.17,358.00,E,Center,Zone 1,0.00,1.02,12.77,270.00
470,37.52,146.45,86.51,354.00,E,Center,Zone 1,0.00,2.41,30.10,261.87
471,37.60,145.77,86.85,405.00,E,Center,Zone 1,0.00,0.76,9.52,243.43
472,37.68,143.73,87.87,392.00,E,Center,Zone 1,0.00,2.28,28.56,243.43
473,37.76,141.69,89.24,395.00,E,Center,Zone 1,0.00,2.46,30.70,236.31
474,37.84,140.32,90.26,398.00,E,Center,Zone 1,0.00,1.70,21.29,233.13
475,37.92,138.62,91.28,410.00,N,Center,Zone 1,0.00,1.99,24.82,239.04
476,38.00,136.92,92.30,390.00,N,Center,Zone 1,0.00,1.99,24.82,239.04
477,38.08,135.22,93.66,411.00,W,Center,Zone 1,0.00,2.18,27.26,231.34
478,38.16,133.51,94.34,383.00,W,Center,Zone 1,0.00,1.83,22.93,248.20
479,38.24,131.47,95.71,336.00,W,Center,Zone 1,0.00,2.46,30.70,236.31
480,38.32,130.11,96.39,368.00,W,Center,Zone 1,0.00,1.52,19.04,243.43
481,38.40,128.06,97.07,329.00,W,Center,Zone 1,0.00,2.15,26.93,251.57
482,38.48,126.02,97.41,285.00,W,Center,Zone 1,0.00,2.07,25.90,260.54
483,38.56,123.98,97.75,300.00,W,Center,Zone 1,0.00,2.07,25.90,260.54
484,38.64,122.61,98.09,291.00,W,Center,Zone 1,0.00,1.40,17.55,255.96
485,38.72,121.25,97.75,274.00,W,Center,Zone 1,0.00,1.40,17.55,284.04
486,38.80,120.57,97.07,311.00,W,Center,Zone 1,0.00,0.96,12.04,315.00
487,38.88,119.55,96.39,365.00,W,Center,Zone 1,0.00,1.23,15.35,303.69
488,38.96,118.53,96.05,390.00,W,Center,Zone 1,0.00,1.08,13.46,288.43
489,39.04,117.16,95.03,358.00,W,Center,Zone 1,0.00,1.70,21.29,306.87
490,39.12,115.80,94.00,352.00,W,Center,Zone 1,0.00,1.70,21.29,306.87
491,39.20,114.78,92.64,342.00,W,Center,Zone 1,0.00,1.70,21.29,323.13
492,39.28,113.42,91.62,335.00,W,Center,Zone 1,0.00,1.70,21.29,306.87
493,39.36,112.40,90.60,329.00,W,Center,Zone 1,0.00,1.45,18.06,315.00
494,39.44,111.03,89.24,289.00,W,Center,Zone 1,0.00,1.93,24.08,315.00
495,39.52,110.35,88.21,309.00,W,Center,Zone 1,0.00,1.23,15.35,326.31
496,39.60,110.01,86.85,255.00,W,Center,Zone 1,0.00,1.40,17.55,345.96
497,39.68,110.69,85.49,260.00,W,Center,Zone 1,0.00,1.52,19.04,26.57
498,39.76,111.71,84.47,266.00,W,Center,Zone 1,0.00,1.45,18.06,45.00
499,39.84,112.05,83.79,264.00,W,Center,Zone 1,0.00,0.76,9.52,26.57
500,39.92,112.74,83.45,241.00,W,Center,Zone 1,0.00,0.76,9.52,63.43
501,40.00,113.42,83.10,291.00,W,Center,Zone 1,0.00,0.76,9.52,63.43
502,40.08,114.10,82.42,326.00,W,Center,Zone 1,0.00,0.96,12.04,45.00
503,40.16,114.78,81.74,299.00,W,Center,Zone 1,0.00,0.96,12.04,45.00
504,40.24,115.80,80.72,309.00,N,Center,Zone 1,0.00,1.45,18.06,45.00
505,40.32,116.48,79.70,286.00,N,Center,Zone 1,0.00,1.23,15.35,33.69
506,40.40,117.16,79.02,314.00,N,Center,Zone 1,0.00,0.96,12.04,45.00
507,40.48,118.19,77.66,308.00,N,Center,Zone 1,0.00,1.70,21.29,36.87
508,40.56,118.53,76.63,310.00,N,Center,Zone 1,0.00,1.08,13.46,18.43
509,40.64,119.21,74.93,341.00,N,Center,Zone 1,0.00,1.83,22.93,21.80
510,40.72,119.89,73.57,319.00,N,Center,Zone 1,0.00,1.52,19.04,26.57
511,40.80,120.57,72.21,321.00,N,Center,Zone 1,0.00,1.52,19.04,26.57
512,40.88,120.91,70.50,282.00,N,Center,Zone 1,0.00,1.74,21.71,11.31
513,40.96,120.91,69.48,301.00,N,Center,Zone 1,0.00,1.02,12.77,0.00
514,41.04,120.91,68.46,379.00,N,Center,Zone 1,0.00,1.02,12.77,0.00
515,41.12,120.57,67.44,368.00,N,Center,Zone 1,0.00,1.08,13.46,341.57
516,41.20,120.23,65.73,361.00,N,Center,Zone 1,0.00,1.74,21.71,348.69
517,41.28,119.89,65.39,424.00,N,Center,Zone 1,0.00,0.48,6.02,315.00
518,41.36,118.87,63.69,411.00,N,Center,Zone 1,0.00,1.99,24.82,329.04
519,41.44,118.53,62.67,451.00,N,Center,Zone 1,0.00,1.08,13.46,341.57
520,41.52,118.19,62.33,495.00,N,Center,Zone 1,0.00,0.48,6.02,315.00
521,41.60,117.50,60.63,479.00,N,Center,Zone 1,0.00,1.83,22.93,338.20
522,41.68,116.48,59.26,466.00,N,Center,Zone 1,0.00,1.70,21.29,323.13
523,41.76,116.14,57.90,493.00,N,Center,Zone 1,0.00,1.40,17.55,345.96
524,41.84,115.46,55.52,507.00,N,Center,Zone 1,0.00,2.48,30.99,344.05
525,41.92,114.78,53.47,487.00,N,Center,Zone 1,0.00,2.15,26.93,341.57
526,42.00,113.76,51.43,472.00,N,Center,Zone 1,0.00,2.28,28.56,333.43
527,42.08,113.42,49.05,441.00,N,Center,Zone 1,0.00,2.41,30.10,351.87
528,42.16,113.08,47.68,447.00,N,Mid,Zone 1,0.00,1.40,17.55,345.96
529,42.24,112.40,45.64,491.00,N,Mid,Zone 1,0.00,2.15,26.93,341.57
530,42.32,112.05,43.26,491.00,N,Mid,Zone 1,0.00,2.41,30.10,351.87
531,42.40,111.37,41.55,530.00,N,Mid,Zone 1,0.00,1.83,22.93,338.20
532,42.48,110.69,39.17,509.00,N,Mid,Zone 1,0.00,2.48,30.99,344.05
533,42.56,110.35,37.12,495.00,N,Mid,Zone 1,0.00,2.07,25.90,350.54
534,42.64,110.01,35.76,450.00,N,Mid,Zone 1,0.00,1.40,17.55,345.96
535,42.72,110.01,35.42,497.00,N,Mid,Zone 1,0.00,0.34,4.26,0.00
536,42.80,110.01,34.06,516.00,N,Mid,Zone 1,0.00,1.36,17.03,0.00
537,42.88,110.35,33.38,498.00,N,Mid,Zone 1,0.00,0.76,9.52,26.57
538,42.96,111.03,32.36,449.00,N,Mid,Zone 1,0.00,1.23,15.35,33.69
539,43.04,111.71,32.02,410.00,N,Mid,Zone 1,0.00,0.76,9.52,63.43
540,43.12,112.05,32.02,435.00,N,Mid,Zone 1,0.00,0.34,4.26,90.00
541,43.20,112.40,31.33,464.00,plateforme,Mid,Zone 1,0.00,0.76,9.52,26.57
542,43.28,112.74,30.99,407.00,plateforme,Mid,Zone 1,0.00,0.48,6.02,45.00
543,43.36,112.74,31.68,455.00,plateforme,Mid,Zone 1,0.00,0.68,8.51,180.00
544,43.44,112.74,31.68,511.00,plateforme,Mid,Zone 1,0.00,0.00,0.00,-
545,43.52,112.40,31.68,556.00,plateforme,Mid,Zone 1,0.00,0.34,4.26,270.00
546,43.60,112.40,31.33,606.00,plateforme,Mid,Zone 1,0.00,0.34,4.26,0.00
547,43.68,112.05,30.99,698.00,N,Mid,Zone 1,0.00,0.48,6.02,315.00
548,43.76,112.40,30.99,680.00,plateforme,Mid,Zone 1,0.00,0.34,4.26,90.00
549,43.84,112.40,31.33,673.00,plateforme,Mid,Zone 1,0.00,0.34,4.26,180.00
550,43.92,112.74,31.33,640.00,plateforme,Mid,Zone 1,0.00,0.34,4.26,90.00
551,44.00,113.08,31.33,640.00,plateforme,Mid,Zone 1,0.00,0.34,4.26,90.00
552,44.08,113.08,31.33,633.00,plateforme,Mid,Zone 1,0.00,0.00,0.00,-
553,44.16,112.74,31.68,656.00,plateforme,Mid,Zone 1,0.00,0.48,6.02,225.00
554,44.24,112.05,32.02,647.00,N,Mid,Zone 1,0.00,0.76,9.52,243.43
555,44.32,111.71,32.70,571.00,N,Mid,Zone 1,0.00,0.76,9.52,206.57
556,44.40,111.71,33.04,550.00,N,Mid,Zone 1,0.00,0.34,4.26,180.00
557,44.48,112.05,33.38,565.00,N,Mid,Zone 1,0.00,0.48,6.02,135.00
558,44.56,112.40,33.38,621.00,plateforme,Mid,Zone 1,0.00,0.34,4.26,90.00
559,44.64,113.08,33.38,651.00,plateforme,Mid,Zone 1,0.00,0.68,8.51,90.00
560,44.72,113.42,33.38,656.00,plateforme,Mid,Zone 1,0.00,0.34,4.26,90.00
561,44.80,113.42,33.38,717.00,plateforme,Mid,Zone 1,0.00,0.00,0.00,-
562,44.88,113.76,33.38,716.00,plateforme,Mid,Zone 1,0.00,0.34,4.26,90.00
563,44.96,114.44,33.38,676.00,plateforme,Mid,Zone 1,0.00,0.68,8.51,90.00
564,45.04,114.78,33.38,693.00,plateforme,Mid,Zone 1,0.00,0.34,4.26,90.00
565,45.12,114.44,33.04,654.00,plateforme,Mid,Zone 1,0.00,0.48,6.02,315.00
566,45.20,114.44,33.04,630.00,plateforme,Mid,Zone 1,0.00,0.00,0.00,-
567,45.28,114.10,33.04,614.00,plateforme,Mid,Zone 1,0.00,0.34,4.26,270.00
568,45.36,113.76,33.38,612.00,plateforme,Mid,Zone 1,0.00,0.48,6.02,225.00
569,45.44,114.10,33.38,601.00,plateforme,Mid,Zone 1,0.00,0.34,4.26,90.00
570,45.52,114.44,33.38,616.00,plateforme,Mid,Zone 1,0.00,0.34,4.26,90.00
571,45.60,115.12,33.38,653.00,plateforme,Mid,Zone 1,0.00,0.68,8.51,90.00
572,45.68,115.80,33.72,694.00,plateforme,Mid,Zone 1,0.00,0.76,9.52,116.57
573,45.76,116.48,34.40,727.00,plateforme,Mid,Zone 1,0.00,0.96,12.04,135.00
574,45.84,116.82,34.74,754.00,plateforme,Mid,Zone 1,0.00,0.48,6.02,135.00
575,45.92,116.82,35.08,775.00,plateforme,Mid,Zone 1,0.00,0.34,4.26,180.00
576,46.00,117.16,35.42,808.00,plateforme,Mid,Zone 1,0.00,0.48,6.02,135.00
577,46.08,117.50,35.76,816.00,plateforme,Mid,Zone 1,0.00,0.48,6.02,135.00
578,46.16,117.84,36.10,843.00,plateforme,Mid,Zone 1,0.00,0.48,6.02,135.00
579,46.24,117.84,36.10,807.00,plateforme,Mid,Zone 1,0.00,0.00,0.00,-
580,46.32,117.84,35.76,756.00,plateforme,Mid,Zone 1,0.00,0.34,4.26,0.00
581,46.40,118.19,36.10,738.00,plateforme,Mid,Zone 1,0.00,0.48,6.02,135.00
582,46.48,118.19,36.10,738.00,plateforme,Mid,Zone 1,0.00,0.00,0.00,-
583,46.56,118.19,36.44,760.00,plateforme,Mid,Zone 1,0.00,0.34,4.26,180.00
584,46.64,118.19,36.44,769.00,plateforme,Mid,Zone 1,0.00,0.00,0.00,-
585,46.72,118.53,36.78,777.00,plateforme,Mid,Zone 1,0.00,0.48,6.02,135.00
586,46.80,118.53,36.78,746.00,plateforme,Mid,Zone 1,0.00,0.00,0.00,-
587,46.88,118.53,37.12,748.00,plateforme,Mid,Zone 1,0.00,0.34,4.26,180.00
588,46.96,118.19,37.12,739.00,plateforme,Mid,Zone 1,0.00,0.34,4.26,270.00
589,47.04,117.50,37.47,740.00,plateforme,Mid,Zone 1,0.00,0.76,9.52,243.43
590,47.12,117.50,37.47,764.00,plateforme,Mid,Zone 1,0.00,0.00,0.00,-
591,47.20,117.16,37.81,756.00,plateforme,Mid,Zone 1,0.00,0.48,6.02,225.00
592,47.28,117.50,37.81,733.00,plateforme,Mid,Zone 1,0.00,0.34,4.26,90.00
593,47.36,117.50,37.81,725.00,plateforme,Mid,Zone 1,0.00,0.00,0.00,-
594,47.44,117.50,37.81,716.00,plateforme,Mid,Zone 1,0.00,0.00,0.00,-
595,47.52,117.50,37.81,687.00,plateforme,Mid,Zone 1,0.00,0.00,0.00,-
596,47.60,117.50,37.81,696.00,plateforme,Mid,Zone 1,0.00,0.00,0.00,-
597,47.68,117.50,37.81,700.00,plateforme,Mid,Zone 1,0.00,0.00,0.00,-
598,47.76,117.50,37.81,696.00,plateforme,Mid,Zone 1,0.00,0.00,0.00,-
599,47.84,117.50,37.81,698.00,plateforme,Mid,Zone 1,0.00,0.00,0.00,-
600,47.92,117.50,37.81,708.00,plateforme,Mid,Zone 1,0.00,0.00,0.00,-
601,48.00,117.50,37.81,710.00,plateforme,Mid,Zone 1,0.00,0.00,0.00,-
602,48.08,117.50,37.81,711.00,plateforme,Mid,Zone 1,0.00,0.00,0.00,-
603,48.16,117.50,37.81,700.00,plateforme,Mid,Zone 1,0.00,0.00,0.00,-
604,48.24,117.50,37.81,700.00,plateforme,Mid,Zone 1,0.00,0.00,0.00,-
605,48.32,117.50,37.81,704.00,plateforme,Mid,Zone 1,0.00,0.00,0.00,-
606,48.40,117.50,37.81,702.00,plateforme,Mid,Zone 1,0.00,0.00,0.00,-
607,48.48,117.50,37.81,719.00,plateforme,Mid,Zone 1,0.00,0.00,0.00,-
608,48.56,117.50,37.81,706.00,plateforme,Mid,Zone 1,0.00,0.00,0.00,-
609,48.64,117.50,37.81,687.00,plateforme,Mid,Zone 1,0.00,0.00,0.00,-
610,48.72,117.50,37.81,688.00,plateforme,Mid,Zone 1,0.00,0.00,0.00,-
611,48.80,117.84,38.15,702.00,plateforme,Mid,Zone 1,0.00,0.48,6.02,135.00
612,48.88,117.84,38.15,692.00,plateforme,Mid,Zone 1,0.00,0.00,0.00,-
613,48.96,117.84,38.15,719.00,plateforme,Mid,Zone 1,0.00,0.00,0.00,-
614,49.04,117.84,38.15,712.00,plateforme,Mid,Zone 1,0.00,0.00,0.00,-
615,49.12,118.19,38.49,715.00,plateforme,Mid,Zone 1,0.00,0.48,6.02,135.00
616,49.20,118.19,38.83,742.00,plateforme,Mid,Zone 1,0.00,0.34,4.26,180.00
617,49.28,118.19,38.83,758.00,plateforme,Mid,Zone 1,0.00,0.00,0.00,-
618,49.36,118.19,38.83,763.00,plateforme,Mid,Zone 1,0.00,0.00,0.00,-
619,49.44,118.19,38.83,749.00,plateforme,Mid,Zone 1,0.00,0.00,0.00,-
